titulo;duracion;genero;year;rating;gross;directors;actors
Slasher;95 min;Horror            ;(II) (2022);7.3;N/A;['>Alberto Armas Díaz<', '>|<'];['>Sergio Alguacil<', '>Rafa de Vera<', '>Mario Gallardo<', '>Anna Hastings<']
Mujib: The Making of Nation;N/A;Biography            ;(2022);2.6;N/A;['>Shyam Benegal<', '>|<'];['>Atikur Rahman Mahi<', '>Arifin Shuvo<', '>Nusraat Faria Mazhar<', '>Imam Hossain Saju<']
VHS Violence: Bootlegged;70 min;Horror            ;(2022);3.7;N/A;['>Dustin Ferguson<', '>Derek Hill<', '>Sam Mason-Bell<', '>Destiny Soria<', '>|<'];['>Destiny Soria<', '>DaJuan Mack<', '>Landon Munoz<', '>Minh Pham<']
Beneath the Green;80 min;Mystery, Sci-Fi            ;(2022);3.6;N/A;['>Jason Georgiades<', '>|<'];['>Gema Galiana<', '>Eric Roberts<', '>Anthony Nikolchev<', '>Veronica Wylie<']
Call of the Void;N/A;Horror            ;(2022);N/A;N/A;['>James B. Cox<', '>|<'];['>Caitlin Carver<', '>Mina Sundwall<', '>Christian Antidormi<', '>Richard Ellis<']
MobKing;N/A;Drama, Thriller            ;(2022);N/A;N/A;['>Jokes Yanes<', '>|<'];['>Robert LaSardo<', '>Oksana Lada<', '>James Russo<', '>Katalina Viteri<']
Vienes o voy;N/A;Comedy            ;(2022);N/A;N/A;['>Jaime Botella<', '>|<'];['>Davi Vega<', '>Jesús Olmedo<', '>Kira Miró<', '>Jorge Perugorría<']
The Northside Shtory;N/A;Comedy            ;(2022);N/A;N/A;['>Jackson Lennon<', '>Jordan Lennon<', '>|<'];['>Baz Black<', '>John Connors<', '>Karl Rice<', '>Jordan Lennon<']
The Next 24 Hours;N/A;Action            ;(2022);N/A;N/A;['>Andre Buckner<', '>Carl Millender<', '>|<'];['>Toni Hudson<', '>Clifton Powell<', '>Lisa Wu<', '>Baby Norman<']
Despatch;N/A;Drama            ;(2022);N/A;N/A;['>Kanu Behl<', '>|<'];['>Arrchita Agarwaal<', '>Anand Alkunte<', '>Riju Bajaj<', '>Manoj Bajpayee<']
Savage Revenge;77 min;Drama            ;(2022);8.4;N/A;['>Kaamel Hasaun<', '>|<'];['>Andrea Abrams<', '>Angelica Anderson<', '>Janae Black<', '>Marquise Clark<']
ManFish;81 min;Comedy, Horror            ;(2022);8.2;N/A;['>Marc Coleman<', '>|<'];['>Dean Kilbey<', '>Emma Stannard<', '>Matty Noble<', '>Jon Campling<']
The Culling;N/A;Horror            ;(I) (2022);N/A;N/A;N/A;N/A
Perfect Blue;N/A;Fantasy            ;(2022);N/A;N/A;['>Baoping Cao<', '>|<'];['>Art Freeman<', '>Celina Jade<', '>Bingbing Fan<', '>Xuan Huang<']
Wisdom for Heroes;N/A;Action, Drama, Fantasy            ;(2022);N/A;N/A;N/A;['>Franco Nero<', '>Owen Teale<', '>Amitabh Bachchan<', '>Candice Azzara<']
Letters Home;N/A;Drama            ;(2022);N/A;N/A;['>Brett Ray<', '>|<'];['>Garrett Skillings<', '>John Mitchell Jr.<', '>Tony Gerard<', '>Wayne Issleb<']
Chidiakhana;115 min;Drama            ;(2022);N/A;N/A;['>Manish Tiwary<', '>|<'];['>Ritvik Sahore<', '>Avneet Kaur<', '>Rajeshwari Sachdev<', '>Prashant Narayanan<']
Alchemist;N/A;N/A;(I) (2022);N/A;N/A;['>Rupesh Paul<', '>|<'];['>Chhaya Kadam<', '>Sanjay Mishra<', '>MayurKumar Nyk<', '>Heeba Nasirudeen Shah<']
Lion-Girl;N/A;Action, Sci-Fi            ;(2022);N/A;N/A;['>Kurando Mitsutake<', '>|<'];['>Derek Mears<', '>Stefanie Estes<', '>Larry Myo Leong<', '>David Sakurai<']
Scam City;90 min;Crime            ;(2022);N/A;N/A;['>Derrick Hammond<', '>|<'];['>J.D. Williams<', '>Dennis L.A. White<', '>Jamaal S. Johnson<', '>Evette Morales<']
Manto Remix;86 min;Drama            ;(2022);N/A;N/A;['>Shrivas Nydu<', '>|<'];['>Bobby Vats<', '>Kanchan Awasthi<', '>Mrinalini<', '>Anaya Soni<']
Reunion from Hell 2;98 min;Horror            ;(2022);8.2;N/A;['>Hayden Newman<', '>Sam Hodge<', '>|<'];['>Lisa Wilcox<', '>Mark Patton<', '>Danny Hassel<', '>James Stokes<']
Foreclosure;N/A;Thriller            ;(2022);3.6;N/A;['>Brett Bentman<', '>|<'];['>Samara Gonzalez<', '>Derrick Redford<', '>Brooks Ryan<', '>Natalie Hinds<']
Amor es amor;N/A;Comedy, Romance            ;(2022);N/A;N/A;['>Rob Schneider<', '>|<'];['>Rob Schneider<', '>Patricia Maya Schneider<', '>Vadhir Derbez<', '>Christian Vazquez<']
Ninjai: The Little Ninja;80 min;Animation, Drama            ;(2022);6.0;N/A;['>The Ninjai Gang<', '>Paulette Victor-Lifton<', '>|<'];['>Siddha Bellord<']
Falling for the Manny;N/A;Romance            ;(2022);N/A;N/A;['>Damián Romay<', '>|<'];['>Tyler Johnson<', '>Adebiyi Lanre<', '>Ellen Marguerite Cullivan<', '>Lily Jane<']
Joshua: Imai Pol Kaka;N/A;Action, Thriller            ;(2022);7.7;N/A;['>Gautham Vasudev Menon<', '>|<'];['>Lizzie Antony<', '>Varun Kamal<', '>Raja Krishnamoorthy<', '>Raahei<']
Shadow Island;90 min;Thriller            ;(2022);N/A;N/A;['>Johan Storm<', '>|<'];['>Magnus Roosmann<', '>Hanne Mathisen Haga<', '>Max Lapitskij<', '>Anderz Eide<']
Obstacle Corpse;N/A;Comedy, Horror            ;(2022);8.8;N/A;['>Hope Madden<', '>|<'];['>Sylvie Mix<', '>Jarrell Pyro Johnson<', '>Colleen Gentry<', '>Kira L. Wilson<']
Dukaan;N/A;Drama            ;(2022);N/A;N/A;['>Siddharth Singh<', '>Garima Wahal<', '>|<'];['>Monika Panwar<', '>Vrajesh Hirjee<', '>Sikandar Kher<', '>Soham Majumdar<']
The Battle of Bhima Koregaon;N/A;Action, Biography, Drama            ;(2022);9.0;N/A;['>Ramesh Thete<', '>|<'];['>Arjun Rampal<', '>Sunny Leone<', '>Digangana Suryavanshi<', '>Nataliya Kozhenova<']
The Mick and the Trick;N/A;Action, Comedy, Crime            ;(2022);N/A;N/A;['>Tom DeNucci<', '>|<'];['>Peter Greene<', '>Federico Castelluccio<', '>Richard Kline<', '>John Fiore<']
Love Virtually;N/A;N/A;(2022);N/A;N/A;['>L.E. Staiman<', '>|<'];['>Cheri Oteri<', '>Adam Ray<', '>Stephen Tobolowsky<', '>Paul F. Tompkins<']
Best of Stand-Up 2022;76 min;Comedy            ;(2022);5.6;N/A;N/A;['>Bill Burr<', '>Gabriel Iglesias<', '>Hasan Minhaj<', '>Taylor Tomlinson<']
The Squad: Rise of the Chicano Squad;N/A;Action            ;(2022);N/A;N/A;['>Juan C.vazquez<', '>|<'];['>Juan C.vazquez<', '>Robert LaSardo<', '>Tyler Gallant<', '>Mike Gassaway<']
Jungle Juice;90 min;Drama            ;(2022);8.6;N/A;['>Curley The 5th<', '>|<'];['>Curley The 5th<', '>Aaron Pierson<', '>Chris Pinnick<', '>Charelle Jovanna<']
Sharp Corner;N/A;Thriller            ;(2022);N/A;N/A;N/A;N/A
The Lipstick Boy;N/A;Drama            ;(2022);N/A;N/A;['>Abhinav Thakur<', '>|<'];['>Manoj Patel<', '>Sriparna Chakravarty<', '>Arvind Fulalpuri<', '>Aamir Haque<']
Black Terror;N/A;N/A;(2022);N/A;N/A;['>Richard Lawson<', '>|<'];['>Tobias Truvillion<', '>Taylor Leigh Edwards<', '>Henri Franklin<', '>Terryl Daluz<']
Night of the Caregiver;N/A;Horror            ;(2022);N/A;N/A;['>Joe Cornet<', '>|<'];['>Natalie Denise Sperl<', '>Eileen Dietz<', '>Anna Oris<', '>Joe Cornet<']
Chaalbaaz in London;N/A;Comedy            ;(2022);8.6;N/A;['>Pankaj Parashar<', '>|<'];['>Shraddha Kapoor<']
Teddy Told Me To;79 min;Horror            ;(2022);8.2;N/A;['>Tom Devlin<', '>|<'];['>Felissa Rose<', '>C.J. Graham<', '>Lisa Wilcox<', '>Warrington Gillette<']
Twisted Vines;84 min;Crime, Drama            ;(2022);N/A;N/A;['>Jihane Mrad Balaa<', '>|<'];['>Brande Roderick<', '>Brian Borello<', '>Jon Briddell<', '>Vivica A. Fox<']
Unstoppable;N/A;Family, Sci-Fi            ;(I) (2022);N/A;N/A;['>Feng Yang<', '>|<'];['>Zina Blahusova<', '>Siu-Wong Fan<', '>Ji Hao<', '>Li-Chun Lee<']
Sour Milk;N/A;Drama            ;(2022);N/A;N/A;['>Pablo Feldman<', '>Sophia Sabella<', '>|<'];['>Ryan Simpkins<', '>Jason Butler Harner<', '>Sierra McCormick<', '>Drew Scheid<']
2.0 Lucy;93 min;Sci-Fi            ;(2022);N/A;N/A;['>Fenella Greenfield<', '>|<'];['>Lois Chimimba<', '>Joe Eyre<', '>Francesca Henry<', '>Dan Parr<']
A Kidnap;N/A;Thriller            ;(2022);5.4;N/A;['>Lee Greenhough<', '>|<'];['>Mollie Hindle<', '>Eloise Joo<', '>Daniel Jordan<', '>Tee Morris<']
Manja;93 min;Drama            ;(2022);N/A;N/A;['>Nikola Koncarevic<', '>|<'];['>Nevena Nerandzic<', '>Milos Vojnovic<', '>Tanja Pjevac<', '>Darko Radojevic<']
Backfire;N/A;Mystery            ;(2022);N/A;N/A;['>Ashok K Mishra<', '>|<'];['>Sandeepa Dhar<', '>Karan Singh Grover<', '>Kay Kay Menon<', '>Neil Nitin Mukesh<']
Why Women Trip;N/A;Drama            ;(2022);N/A;N/A;['>Vernon Snoop Robinson<', '>Tamika Scott<', '>Rock White<', '>|<'];['>Claudia Jordan<', '>Rolonda Rochelle<', '>Lucretia Johnson<', '>Peter Gunz<']
Paw Patrol: Super Rescue;73 min;Animation            ;(2022);N/A;N/A;['>Charles E. Bastien<', '>|<'];['>Lilly Noelle Bartlam<', '>Julius Cho<', '>Anya Cooke<', '>Deann DeGruijter<']
The Wizards Books: A Tale of Three Sisters;N/A;Fantasy            ;(2022);N/A;N/A;['>Joseph Ciminera<', '>|<'];['>Anthony Ferro<', '>Erskine Alexander<', '>Joshua Anderson<', '>Robert Arensan<']
Am saat fung bou;N/A;Thriller            ;(2022);N/A;N/A;['>Herman Yau<', '>|<'];['>Danny Kwok-Kwan Chan<', '>Catherine Chau<', '>Chrissie Chau<', '>Chung-Chi Cheung<']
Lorsque le coeur dérange;N/A;Drama            ;(2022);N/A;N/A;['>Philippe Cormier<', '>|<'];['>Rebecca Gibian<', '>Emmanuel Auger<', '>Roxanne St-Gelais<', '>Fanny Rainville<']
Vengeance Turns: Volume One;74 min;Western            ;(2022);N/A;N/A;['>Robert Christopher Smith<', '>|<'];['>Azeem Vecchio<', '>Tomer David<', '>Robert Christopher Smith<', '>Sofia Chicorelli Serna<']
NOiSE;80 min;Horror            ;(2022);N/A;N/A;['>Jean-Louis Droulers<', '>|<'];['>Jean-Louis Droulers<', '>Brandon Flynn<', '>Ella Jordan<']
Days of Noah;N/A;Drama            ;(2022);N/A;N/A;['>Dalton Thomas<', '>|<'];['>Vitaly Rapoport<', '>Abraham Shishkoff<', '>Mayaan Nestel<', '>Liran Yakuti<']
Ear 2 Ear;140 min;Drama, Mystery, Thriller            ;(2022);N/A;N/A;['>Kamal Smith<', '>|<'];['>Marcia Adams<', '>Keith Anthony<', '>Mica Bivings<', '>Chanel Bonds<']
Black White and the Greys;N/A;Drama            ;(2022);N/A;N/A;['>Casey Nelson<', '>Marchelle Thurman<', '>|<'];['>Casey Nelson<', '>Marchelle Thurman<', '>Jay Jablonski<', '>Cecily Phillips<']
The Swiss Guard;N/A;Action            ;(2022);N/A;N/A;N/A;N/A
Home Safe;N/A;Thriller            ;(I) (2022);N/A;N/A;['>Jacob Vaughan<', '>|<'];['>Felisha Terrell<', '>Mira Sorvino<', '>Catherine Dyer<', '>Emily Topper<']
Love at Mariposa Beach;N/A;N/A;(2022);6.2;N/A;['>David Martín Porras<', '>|<'];['>Lucía Gómez-Robledo<', '>Pierre Louis<', '>Luis Gatica<', '>Sergio Rogalto<']
Beyond the Gates of Hell;65 min;Horror            ;(2022);7.9;N/A;['>Dustin Ferguson<', '>|<'];['>Traci Burr<', '>Eric Larsen<', '>Brinke Stevens<', '>Robert Lankford<']
Lennons;N/A;Comedy            ;(2022);N/A;N/A;['>José María Cicala<', '>|<'];['>Germán Baudino<', '>Betiana Blum<', '>Luciano Cáceres<', '>Malena Guinzburg<']
Ko je smestio Mungosu?;N/A;Comedy            ;(2022);9.6;N/A;['>Ana Banduka<', '>|<'];['>Micko Markovic<', '>Milan Milosavljevic<', '>Vladimir Petrovic<', '>Aleksandar Golubovic<']
The Missing;89 min;Adventure, Horror, Mystery            ;(2022);N/A;N/A;['>Markus Hadenfeld Hunt<', '>Samuel Rosson<', '>Yonathan<', '>|<'];['>Samuel Rosson<', '>Yonathan<', '>Markus Hadenfeld Hunt<']
Bhoy - The Beginning;N/A;Fantasy            ;(2022);N/A;N/A;['>Ayan Sil<', '>|<'];['>Kavya Kashyap<', '>Aranya Roy Chowdhury<', '>Ushoshi Sengupta<', '>Judhajit Sarkar<']
VRChat the Movie;N/A;Animation, Action, Adventure            ;(2022);N/A;N/A;['>Constantine254<', '>|<'];['>Rebecca Danae<', '>CashlinSnow<', '>Constantine254<', '>ThatBlonde58<']
Confessions of a Closeted People Pleaser;N/A;Comedy            ;(2022);N/A;N/A;['>Sam Morgan<', '>|<'];['>Noel Arthur<', '>Jennifer Bartels<', '>Jonathan Chase<', '>Beth Grant<']
Best Friends;N/A;N/A;(III) (2022);N/A;N/A;['>DJ Raw Heat<', '>|<'];['>Miya Clark<', '>Rayvon Ellerby<', '>Louis Martinez<', '>Taninsha Nicole<']
Yolo County O.G;N/A;Biography, Drama            ;(2022);N/A;N/A;['>Garry A. Brown<', '>|<'];['>Michael Rooker<', '>Lovi Poe<']
Sisters;N/A;Thriller            ;(IV) (2022);N/A;N/A;['>Enrico Saller<', '>|<'];['>Philippe Brenninkmeyer<', '>Leslie Eckl<', '>Tamara Roming<', '>Katharina Scheuba<']
The Undesirables;90 min;Thriller            ;(2022);N/A;N/A;['>Tony Walters<', '>|<'];['>Hannah Fierman<', '>Michael J. Taylor<', '>Jackie Kelly<', '>Alexander Dafnis<']
The Yeti;91 min;Horror            ;(2022);N/A;N/A;N/A;N/A
The Great Awakening;N/A;Horror, Sci-Fi, Thriller            ;(2022);N/A;N/A;['>Bo Roberts<', '>|<'];['>Julia Stier<', '>Ryan Ruffing<', '>Steven Man<', '>Theodora Greece<']
Djoerig Salawe;N/A;Comedy, Horror            ;(2022);N/A;N/A;['>Sahrul Gibran<', '>|<'];['>Nadine Alexandra<', '>Joe Project P.<', '>Fico Fachriza<', '>Anyun Cadel<']
Nian Nian Xiang Wang;N/A;Romance            ;(2022);N/A;N/A;['>Yulin Liu<', '>|<'];['>Haocun Liu<', '>Weilong Song<', '>Guanjin Bu<', '>Cheng Guo<']
A Thousand Miles;N/A;Comedy, Romance            ;(2022);N/A;N/A;['>Andrew Rothkin<', '>|<'];['>Bettina Skye<', '>Sarah Grace Sanders<', '>Samantha Evans<', '>Eli Bridges<']
Seeing Red;N/A;Drama            ;(2022);N/A;N/A;['>Rudolf Buitendach<', '>|<'];['>Jennifer Barbosa<', '>Tony Curtis Blondell<', '>Richard Edson<', '>Tony Flores<']
Re-Opening;90 min;Comedy            ;(2022);N/A;N/A;['>Chris Guerra<', '>Matthew John Koppin<', '>|<'];['>Patty Guggenheim<', '>Chris Guerra<', '>Kelsey Cooke<', '>Amanda Lehan-Canto<']
25 Cents Per Minute;N/A;Comedy, Drama            ;(2022);N/A;N/A;['>Tyler Burke<', '>|<'];['>Elsie Fisher<', '>Ravil Isyanov<', '>Julieth Restrepo<', '>Shoniqua Shandai<']
Unstoppable;N/A;Comedy            ;(II) (2022);N/A;N/A;['>Diamond Ratna Babu<', '>|<'];['>VJ Sunny<', '>Sapthagiri<', '>Nakshatra<', '>Aqsa Khan<']
Habsora al pi Yehuda;82 min;Drama            ;(2022);N/A;N/A;['>Dan Wolman<', '>|<'];['>Yuval Livni<', '>Einav Markel<', '>Doron Tavory<']
Wei Ji Hang Xian;N/A;Drama            ;(2022);N/A;N/A;['>Oxide Chun Pang<', '>Chi-Leung Law<', '>|<'];['>Andy Lau<', '>Zifeng Zhang<', '>Chuxiao Qu<', '>Xiaodong Guo<']
The Deadly Getaway;N/A;Thriller            ;(2022);N/A;N/A;['>Charles Jones<', '>|<'];['>Yandy Smith-Harris<', '>Jason Weaver<', '>Jeff Logan<', '>Princess Love Norwood<']
Stokes River Haunting;N/A;Drama, Horror            ;(2022);N/A;N/A;['>Hunter Bickham<', '>|<'];['>Tina Krause<', '>Meredith Mohler<', '>Kaleb Naquin<', '>Allie Perez<']
Mad;N/A;Comedy            ;(2022);N/A;N/A;['>Nikhil Khajindar<', '>|<'];['>Vinayak Mali<', '>Ritika Shrotri<']
Do Ut Des;N/A;N/A;(2022);N/A;N/A;['>Monica Carpanese<', '>Dario Germani<', '>|<'];['>Luca Avallone<', '>Miriam Dossena<', '>Ilaria Loriga<', '>Ilde Mauri<']
Psyche;N/A;Fantasy            ;(II) (2022);N/A;N/A;['>Maddalena Kingsley<', '>|<'];['>Brett Boreham<', '>Pietro Buzzelli<', '>Joseph Byrne<', '>Noah Diggs<']
Bone Cold;N/A;Thriller            ;(2022);N/A;N/A;['>Billy Hanson<', '>|<'];['>Trinity Jo-Li Bliss<', '>Jonathan Stoddard<', '>Jennifer Khoe<', '>Elise Greene<']
Boond (A Blue Diamond);N/A;Drama            ;(2022);N/A;N/A;"['>Jenny &amp; Dipayan<', '>Dipayan Jenny<', '>|<']";['>Bidita Bag<', '>Rohit Choudhary<', '>Samiksha Bhatnagar<', '>Govind Namdeo<']
Liberty;N/A;Thriller            ;(I) (2022);N/A;N/A;['>Phil De Witte<', '>|<'];['>Nicholas Michael McGovern<', '>Alice Barrett<', '>Samantha Smart<', '>Andrea McKinnon<']
Project Summer;92 min;Drama, Sci-Fi, Thriller            ;(2022);5.5;N/A;['>Andre Harrison<', '>|<'];['>Laura Arbeláez<', '>Eric Bleau<', '>Tobias Buck<', '>Leona Clarke<']
Una preghiera per Giuda;N/A;Action            ;(2022);N/A;N/A;['>Massimo Paolucci<', '>|<'];['>Danny Trejo<', '>Bruno Bilotta<', '>Tony Sperandeo<', '>Giacomo Affricani<']
86 Zombies;90 min;Horror            ;(2022);N/A;N/A;N/A;N/A
Shelter;82 min;Sci-Fi            ;(III) (2022);N/A;N/A;['>Alexander T. Hwang<', '>|<'];['>Jessica Cameron<', '>Thomas Haley<', '>Sadie Katz<', '>Michael Jon Murphy<']
Marauders: Up to No Good;N/A;Adventure            ;(2022);N/A;N/A;['>Samantha Hindman<', '>|<'];['>Anafae<', '>Ethan Barnes<', '>Ask Angel Grüner Bjørn<', '>James Bryan<']
Orbital;87 min;Drama, Sci-Fi            ;(I) (2022);6.5;N/A;['>Maysam Hasanzadeh<', '>|<'];"['>Mahsa Akbarpoor<', '>Mostafa Amiri<', '>Rahil Kafi<', "">Milad Khaza'ee<""]"
Korameenu;124 min;Drama            ;(2022);7.6;N/A;['>Sripathy Karri<', '>|<'];['>Anveesha<', '>Hanish Ashok<', '>Jabardast Ashok<', '>Buchamma<']
Portrait of a Young Man;N/A;Drama            ;(2022);N/A;N/A;['>Brandon Shenk<', '>|<'];['>Jackson Kelly<', '>Tricia Paoluccio<', '>Richard Gunn<', '>John Paul Kakos<']
Union;132 min;Drama            ;(2022);N/A;N/A;['>Scott A. Martin<', '>|<'];['>Scott A. Martin<', '>Rick Kain<', '>Alan McClintock<', '>Michelle Lamelza<']
Nomad;N/A;Thriller            ;(I) (2022);2.4;N/A;['>Markus Lingevall<', '>|<'];['>Birol Tarkan Yildiz<']
The Ring Widow;N/A;Thriller            ;(2022);9.2;N/A;"["">Denise Mone't<"", '>|<']";"['>Dee Hill<', '>Dakarai Akil<', '>Natoya Danielle<', "">Denise Mone't<""]"
New Jack Empire;N/A;Crime            ;(2022);N/A;N/A;['>Paul Lozada<', '>|<'];['>Khalilah Walker<']
I Am Gitmo;N/A;Drama            ;(2022);N/A;N/A;['>Philippe Diaz<', '>|<'];"['>Sammy Sheik<', '>Eric Pierpoint<', '>Paul Kampf<', "">Sean O'Bryan<""]"
¡Que Padre... Es Mi Familia?;N/A;Comedy, Family            ;(2022);N/A;N/A;['>Rodrigo Vidal<', '>|<'];['>Marlene Favela<', '>Veronica Montes<', '>Carlos Ponce<', '>Fernando Pérez Valdez<']
10 Reasons Why Men Cheat;90 min;Romance            ;(2022);N/A;N/A;['>Joseph A. Elmore Jr.<', '>|<'];['>Claudia Jordan<', '>LaToya Ward<', '>Elizabeth Arends<', '>Chanel Tso<']
Hillhead;83 min;Comedy            ;(2022);N/A;N/A;['>Neal McLaughlin<', '>|<'];['>Rachel Staman<', '>Claire Blackwelder<', '>Brian Colbert Kennedy<', '>Moises Chavez<']
Merkez;N/A;Romance            ;(2022);N/A;N/A;['>Hakan Kursun<', '>|<'];['>Bulut Akkale<', '>Ilay Erkök<', '>Elçin Zehra Irem<', '>Duygu Mercan<']
